
 
我的收藏,#genre#
河南卫视,AikanTV://api/vip.php?tvid=中国CN&id=河南卫视
内蒙古卫视,AikanTV://api/vip.php?tvid=中国CN&id=内蒙古卫视
宁夏卫视,AikanTV://api/vip.php?tvid=中国CN&id=宁夏卫视
甘肃卫视,AikanTV://api/vip.php?tvid=中国CN&id=甘肃卫视
海南卫视,AikanTV://api/vip.php?tvid=中国CN&id=海南卫视
新疆卫视,AikanTV://api/vip.php?tvid=中国CN&id=新疆卫视
西藏卫视,AikanTV://api/vip.php?tvid=中国CN&id=西藏卫视
陕西卫视,AikanTV://api/vip.php?tvid=中国CN&id=陕西卫视
山西卫视,AikanTV://api/vip.php?tvid=中国CN&id=山西卫视
广东卫视,AikanTV://api/vip.php?tvid=中国CN&id=广东卫视
广东珠江,AikanTV://api/vip.php?tvid=中国CN&id=广东珠江
广东体育,AikanTV://api/vip.php?tvid=中国CN&id=广东体育
大湾区卫视,AikanTV://api/vip.php?tvid=中国CN&id=大湾区卫视
数字频道,#genre#
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
劲爆体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
金鹰纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031206/1.m3u8
茶友频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
哒啵电竞,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
求索纪录,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000010&IASHttpSessionId=OTT19019320240419154124000281
求索生活,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
求索动物,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
求索科学,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
晴彩竞技,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
晴彩篮球,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226147/index.m3u8
晴彩青少,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
晴彩广场舞,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
精品萌宠,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8
超级综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
轮播频道,#genre#
贺岁,AikanTV://api/tv.php?tvid=测试信号&id=贺岁
玄幻,AikanTV://api/tv.php?tvid=测试信号&id=玄幻
谍战,AikanTV://api/tv.php?tvid=测试信号&id=谍战
战争,AikanTV://api/tv.php?tvid=测试信号&id=战争
喜剧,AikanTV://api/tv.php?tvid=测试信号&id=喜剧
国产,AikanTV://api/tv.php?tvid=测试信号&id=国产
周星星,AikanTV://api/tv.php?tvid=测试信号&id=周星星
梁家辉,AikanTV://api/tv.php?tvid=测试信号&id=梁家辉
斯坦森,AikanTV://api/tv.php?tvid=测试信号&id=斯坦森
八点档,AikanTV://api/tv.php?tvid=测试信号&id=八点档
蜘蛛侠,AikanTV://api/tv.php?tvid=测试信号&id=蜘蛛侠
贺岁片,AikanTV://api/tv.php?tvid=测试信号&id=贺岁片
功夫片,AikanTV://api/tv.php?tvid=测试信号&id=功夫片
黑帮片,AikanTV://api/tv.php?tvid=测试信号&id=黑帮片
丧尸片,AikanTV://api/tv.php?tvid=测试信号&id=丧尸片
灾难片,AikanTV://api/tv.php?tvid=测试信号&id=灾难片
谍战片,AikanTV://api/tv.php?tvid=测试信号&id=谍战片
战争片,AikanTV://api/tv.php?tvid=测试信号&id=战争片
犯罪片,AikanTV://api/tv.php?tvid=测试信号&id=犯罪片
古装片,AikanTV://api/tv.php?tvid=测试信号&id=古装片
高分动作,AikanTV://api/tv.php?tvid=测试信号&id=高分动作
动作电影,AikanTV://api/tv.php?tvid=测试信号&id=动作电影
搞笑喜剧,AikanTV://api/tv.php?tvid=测试信号&id=搞笑喜剧
喜剧专场,AikanTV://api/tv.php?tvid=测试信号&id=喜剧专场
欢笑影院,AikanTV://api/tv.php?tvid=测试信号&id=欢笑影院
不挤影院,AikanTV://api/tv.php?tvid=测试信号&id=不挤影院
国产悬疑,AikanTV://api/tv.php?tvid=测试信号&id=国产悬疑
快意江湖,AikanTV://api/tv.php?tvid=测试信号&id=快意江湖
黑帮斗争,AikanTV://api/tv.php?tvid=测试信号&id=黑帮斗争
嫣然影厅,AikanTV://api/tv.php?tvid=测试信号&id=嫣然影厅
经典港片,AikanTV://api/tv.php?tvid=测试信号&id=经典港片
镖行天下,AikanTV://api/tv.php?tvid=测试信号&id=镖行天下
高能反转,AikanTV://api/tv.php?tvid=测试信号&id=高能反转
喜乐影院,AikanTV://api/tv.php?tvid=测试信号&id=喜乐影院
香港频道,#genre#
凤凰中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
翡翠台,AikanTV://api/vip.php?tvid=香港HK&id=翡翠台
翡翠台4K,AikanTV://api/tv.php?tvid=测试信号&id=翡翠台4K
TVB Plus,AikanTV://api/vip.php?tvid=香港HK&id=TVB Plus
TVB无线新闻台,AikanTV://api/vip.php?tvid=香港HK&id=TVB无线新闻台
TVB明珠台,AikanTV://api/vip.php?tvid=香港HK&id=TVB明珠台
TVB生活台,AikanTV://api/vip.php?tvid=香港HK&id=TVB生活台
TVB星河频道粤语,AikanTV://api/vip.php?tvid=香港HK&id=TVB星河频道
TVB星河频道国语,AikanTV://api/vip.php?tvid=香港HK&id=TVB星河频道(备用1)
星空卫视,AikanTV://api/vip.php?tvid=香港HK&id=星空卫视
TVB1,AikanTV://api/vip.php?tvid=香港HK&id=TVB1
TVB Pearl Drama 明珠劇集台,AikanTV://api/vip.php?tvid=香港HK&id=TVB Pearl Drama 明珠劇集台
TVBJ1,AikanTV://api/vip.php?tvid=香港HK&id=TVBJ1
TVB Drama 翡翠劇集台,AikanTV://api/vip.php?tvid=香港HK&id=TVB Drama 翡翠劇集台
TVB E 翡翠娛樂台,AikanTV://api/vip.php?tvid=香港HK&id=TVB E 翡翠娛樂台
POP C,AikanTV://api/vip.php?tvid=香港HK&id=POP C
Now爆谷台,AikanTV://api/vip.php?tvid=香港HK&id=Now爆谷台
Now爆谷星影台,AikanTV://api/vip.php?tvid=香港HK&id=Now爆谷星影台
Now華劇台,AikanTV://api/vip.php?tvid=香港HK&id=Now華劇台
Now劇集台,AikanTV://api/vip.php?tvid=香港HK&id=Now劇集台
Now新闻台,AikanTV://api/vip.php?tvid=香港HK&id=Now新闻台
Now直播台,AikanTV://api/vip.php?tvid=香港HK&id=Now直播台
Now财经台,AikanTV://api/vip.php?tvid=香港HK&id=Now财经台
NowJelli紫金国际,AikanTV://api/vip.php?tvid=香港HK&id=NowJelli紫金国际
NowSports1,AikanTV://api/vip.php?tvid=香港HK&id=NowSports1
NowSports2,AikanTV://api/vip.php?tvid=香港HK&id=NowSports2
NowSports3,AikanTV://api/vip.php?tvid=香港HK&id=NowSports3
NowSports4,AikanTV://api/vip.php?tvid=香港HK&id=NowSports4
NowSports5,AikanTV://api/vip.php?tvid=香港HK&id=NowSports5
NowSports6,AikanTV://api/vip.php?tvid=香港HK&id=NowSports6
NowSports7,AikanTV://api/vip.php?tvid=香港HK&id=NowSports7
NowSports641,AikanTV://api/vip.php?tvid=香港HK&id=NowSports641
NowSports英超1台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超1台
NowSports英超2台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超2台
NowSports英超3台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超3台
NowSports英超4台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超4台
NowSports英超5台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超5台
NowSports英超6台,AikanTV://api/vip.php?tvid=香港HK&id=NowSports英超6台
bEINSports1,AikanTV://api/vip.php?tvid=香港HK&id=bEINSports1
bEINSports2,AikanTV://api/vip.php?tvid=香港HK&id=bEINSports2
Now630体育台,AikanTV://api/vip.php?tvid=香港HK&id=Now630体育台
NBA TV,AikanTV://api/vip.php?tvid=香港HK&id=NBA TV
澳门莲花,AikanTV://api/vip.php?tvid=香港HK&id=澳门莲花
TVB功夫台粤语,AikanTV://api/vip.php?tvid=香港HK&id=TVB功夫台
TVB功夫台国语,AikanTV://api/vip.php?tvid=香港HK&id=TVB功夫台(备用1)
WOW TV,AikanTV://api/vip.php?tvid=香港HK&id=WOW TV
KTSF26美国旧金山,AikanTV://api/vip.php?tvid=香港HK&id=KTSF26美国旧金山
KR ALL TV,AikanTV://api/vip.php?tvid=香港HK&id=KR ALL TV
中国电影频道,AikanTV://api/vip.php?tvid=香港HK&id=中国电影频道
Thrill,AikanTV://api/vip.php?tvid=香港HK&id=Thrill
天映经典,AikanTV://api/vip.php?tvid=香港HK&id=天映经典
香港卫视HKS,AikanTV://api/vip.php?tvid=香港HK&id=香港卫视HKS
HOY 76,AikanTV://api/vip.php?tvid=香港HK&id=HOY 76
HOY 77,AikanTV://api/vip.php?tvid=香港HK&id=HOY 77
HOY 78,AikanTV://api/vip.php?tvid=香港HK&id=HOY 78
無線衛星亞洲台,AikanTV://api/vip.php?tvid=香港HK&id=無線衛星亞洲台
ViuTV,AikanTV://api/vip.php?tvid=香港HK&id=ViuTV
ViuTV6,AikanTV://api/vip.php?tvid=香港HK&id=ViuTV6
RTHK 31,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 31
RTHK 32,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 32
RTHK 33,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 33
RTHK 34,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 34
RTHK 35,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 35
RTHK 36,AikanTV://api/vip.php?tvid=香港HK&id=RTHK 36
新时代1,AikanTV://api/vip.php?tvid=香港HK&id=新时代1
新时代2,AikanTV://api/vip.php?tvid=香港HK&id=新时代2
城市电视,AikanTV://api/vip.php?tvid=香港HK&id=城市电视
中旺电视,AikanTV://api/vip.php?tvid=香港HK&id=中旺电视
FashionBox,AikanTV://api/vip.php?tvid=香港HK&id=FashionBox
tvN,AikanTV://api/vip.php?tvid=香港HK&id=tvN
ROCK超级娱乐,AikanTV://api/vip.php?tvid=香港HK&id=ROCK超级娱乐
ROCK综艺娱乐,AikanTV://api/vip.php?tvid=香港HK&id=ROCK综艺娱乐
神州新闻台,AikanTV://api/vip.php?tvid=香港HK&id=神州新闻台
HKC18台,AikanTV://api/vip.php?tvid=香港HK&id=HKC18台
C18跑马,AikanTV://api/vip.php?tvid=香港HK&id=C18跑马
88跑马台,AikanTV://api/vip.php?tvid=香港HK&id=88跑马台
黄金翡翠台,AikanTV://api/vip.php?tvid=香港HK&id=黄金翡翠台
千禧经典台,AikanTV://api/vip.php?tvid=香港HK&id=千禧经典台
MyTV千禧经典台,AikanTV://api/vip.php?tvid=香港HK&id=MyTV千禧经典台
亚洲剧台,AikanTV://api/vip.php?tvid=香港HK&id=亚洲剧台
华语剧台,AikanTV://api/vip.php?tvid=香港HK&id=华语剧台
Kix,AikanTV://api/vip.php?tvid=香港HK&id=Kix
TVB娱乐新闻,AikanTV://api/vip.php?tvid=香港HK&id=TVB娱乐新闻
亚洲综合娱乐台,AikanTV://api/vip.php?tvid=香港HK&id=亚洲综合娱乐台
黃金華劇台,AikanTV://api/vip.php?tvid=香港HK&id=黃金華劇台
TVBSuperFree,AikanTV://api/vip.php?tvid=香港HK&id=TVBSuperFree
戏曲台,AikanTV://api/vip.php?tvid=香港HK&id=戏曲台
Hands UP,AikanTV://api/vip.php?tvid=香港HK&id=Hands UP
ZooMoo,AikanTV://api/vip.php?tvid=香港HK&id=ZooMoo
Nickelodeon,AikanTV://api/vip.php?tvid=香港HK&id=Nickelodeon
NickJr儿童频道,AikanTV://api/vip.php?tvid=香港HK&id=NickJr儿童频道
DreamWorks,AikanTV://api/vip.php?tvid=香港HK&id=DreamWorks
粤语片台,AikanTV://api/vip.php?tvid=香港HK&id=粤语片台
美亚电影粤语,AikanTV://api/vip.php?tvid=香港HK&id=美亚电影
美亚电影国语,AikanTV://api/vip.php?tvid=香港HK&id=美亚电影(备用1)
HBO,AikanTV://api/vip.php?tvid=香港HK&id=HBO
HBOHits,AikanTV://api/vip.php?tvid=香港HK&id=HBOHits
HBOFamily,AikanTV://api/vip.php?tvid=香港HK&id=HBOFamily
HBOSignature,AikanTV://api/vip.php?tvid=香港HK&id=HBOSignature
Cinemax,AikanTV://api/vip.php?tvid=香港HK&id=Cinemax
AXN,AikanTV://api/vip.php?tvid=香港HK&id=AXN
MovieMovie,AikanTV://api/vip.php?tvid=香港HK&id=MovieMovie
Animax,AikanTV://api/vip.php?tvid=香港HK&id=Animax
Love Nature,AikanTV://api/vip.php?tvid=香港HK&id=Love Nature
Global Trekker,AikanTV://api/vip.php?tvid=香港HK&id=Global Trekker
CreationTV,AikanTV://api/vip.php?tvid=香港HK&id=CreationTV
Mezzo Live,AikanTV://api/vip.php?tvid=香港HK&id=Mezzo Live
mySUPER直播足球3台,AikanTV://api/vip.php?tvid=香港HK&id=mySUPER直播足球3台
mySUPER直播足球4台,AikanTV://api/vip.php?tvid=香港HK&id=mySUPER直播足球4台
mySUPER直播足球5台,AikanTV://api/vip.php?tvid=香港HK&id=mySUPER直播足球5台
mySUPER直播足球6台,AikanTV://api/vip.php?tvid=香港HK&id=mySUPER直播足球6台
台湾频道,#genre#
中视,AikanTV://api/vip.php?tvid=台湾TW&id=中视
中视新闻,AikanTV://api/vip.php?tvid=台湾TW&id=中视新闻
中视经典,AikanTV://api/vip.php?tvid=台湾TW&id=中视经典
中视菁采,AikanTV://api/vip.php?tvid=台湾TW&id=中视菁采
公视,AikanTV://api/vip.php?tvid=台湾TW&id=公视
小公视,AikanTV://api/vip.php?tvid=台湾TW&id=小公视
公视戏剧,AikanTV://api/vip.php?tvid=台湾TW&id=公视戏剧
公视台语台,AikanTV://api/vip.php?tvid=台湾TW&id=公视台语台
公视新闻网,AikanTV://api/vip.php?tvid=台湾TW&id=公视新闻网
民视,AikanTV://api/vip.php?tvid=台湾TW&id=民视
民视第一台,AikanTV://api/vip.php?tvid=台湾TW&id=民视第一台
民视台湾台,AikanTV://api/vip.php?tvid=台湾TW&id=民视台湾台
民视新闻台,AikanTV://api/vip.php?tvid=台湾TW&id=民视新闻台
民视影剧台,AikanTV://api/vip.php?tvid=台湾TW&id=民视影剧台
民视旅游台,AikanTV://api/vip.php?tvid=台湾TW&id=民视旅游台
民视综艺台,AikanTV://api/vip.php?tvid=台湾TW&id=民视综艺台
台视,AikanTV://api/vip.php?tvid=台湾TW&id=台视
台视新闻HD,AikanTV://api/vip.php?tvid=台湾TW&id=台视新闻HD
台视综合,AikanTV://api/vip.php?tvid=台湾TW&id=台视综合
台视财经,AikanTV://api/vip.php?tvid=台湾TW&id=台视财经
台湾戏剧,AikanTV://api/vip.php?tvid=台湾TW&id=台湾戏剧
华视,AikanTV://api/vip.php?tvid=台湾TW&id=华视
CTS华视新闻资讯,AikanTV://api/vip.php?tvid=台湾TW&id=CTS华视新闻资讯
霹雳台湾台,AikanTV://api/vip.php?tvid=台湾TW&id=霹雳台湾台
壹新闻,AikanTV://api/vip.php?tvid=台湾TW&id=壹新闻
壹电影,AikanTV://api/vip.php?tvid=台湾TW&id=壹电影
JET综合台,AikanTV://api/vip.php?tvid=台湾TW&id=JET综合台
年代新闻,AikanTV://api/vip.php?tvid=台湾TW&id=年代新闻
年代Much,AikanTV://api/vip.php?tvid=台湾TW&id=年代Much
非凡新闻,AikanTV://api/vip.php?tvid=台湾TW&id=非凡新闻
非凡商业,AikanTV://api/vip.php?tvid=台湾TW&id=非凡商业
寰宇新闻,AikanTV://api/vip.php?tvid=台湾TW&id=寰宇新闻
寰宇新闻台湾,AikanTV://api/vip.php?tvid=台湾TW&id=寰宇新闻台湾
寰宇财经,AikanTV://api/vip.php?tvid=台湾TW&id=寰宇财经
鏡新闻,AikanTV://api/vip.php?tvid=台湾TW&id=鏡新闻
东森超视美洲,AikanTV://api/vip.php?tvid=台湾TW&id=东森超视美洲
东森美洲,AikanTV://api/vip.php?tvid=台湾TW&id=东森美洲
东森美洲卫视,AikanTV://api/vip.php?tvid=台湾TW&id=东森美洲卫视
东森中国台,AikanTV://api/vip.php?tvid=台湾TW&id=东森中国台
东森超视,AikanTV://api/vip.php?tvid=台湾TW&id=东森超视
东森亚洲,AikanTV://api/vip.php?tvid=台湾TW&id=东森亚洲
东森综合,AikanTV://api/vip.php?tvid=台湾TW&id=东森综合
东森新闻,AikanTV://api/vip.php?tvid=台湾TW&id=东森新闻
东森财经,AikanTV://api/vip.php?tvid=台湾TW&id=东森财经
东森LIVE,AikanTV://api/vip.php?tvid=台湾TW&id=东森LIVE
东森电影,AikanTV://api/vip.php?tvid=台湾TW&id=东森电影
东森洋片,AikanTV://api/vip.php?tvid=台湾TW&id=东森洋片
东森戏剧,AikanTV://api/vip.php?tvid=台湾TW&id=东森戏剧
东森幼幼,AikanTV://api/vip.php?tvid=台湾TW&id=东森幼幼
东森亚洲幼幼,AikanTV://api/vip.php?tvid=台湾TW&id=东森亚洲幼幼
MOMO綜合台,AikanTV://api/vip.php?tvid=台湾TW&id=MOMO綜合台
MOMO亲子台,AikanTV://api/vip.php?tvid=台湾TW&id=MOMO亲子台
MOMO台,AikanTV://api/vip.php?tvid=台湾TW&id=MOMO台
国兴卫视,AikanTV://api/vip.php?tvid=台湾TW&id=国兴卫视
龙祥时代,AikanTV://api/vip.php?tvid=台湾TW&id=龙祥时代
龙华偶像,AikanTV://api/vip.php?tvid=台湾TW&id=龙华偶像
龙华戏剧,AikanTV://api/vip.php?tvid=台湾TW&id=龙华戏剧
龙华日韩,AikanTV://api/vip.php?tvid=台湾TW&id=龙华日韩
龙华电影,AikanTV://api/vip.php?tvid=台湾TW&id=龙华电影
龙华影剧,AikanTV://api/vip.php?tvid=台湾TW&id=龙华影剧
龙华洋片,AikanTV://api/vip.php?tvid=台湾TW&id=龙华洋片
龙华卡通,AikanTV://api/vip.php?tvid=台湾TW&id=龙华卡通
龙华经典,AikanTV://api/vip.php?tvid=台湾TW&id=龙华经典
三立都会台,AikanTV://api/vip.php?tvid=台湾TW&id=三立都会台
三立综合台,AikanTV://api/vip.php?tvid=台湾TW&id=三立综合台
三立台湾台,AikanTV://api/vip.php?tvid=台湾TW&id=三立台湾台
三立戏剧台,AikanTV://api/vip.php?tvid=台湾TW&id=三立戏剧台
三立新闻台,AikanTV://api/vip.php?tvid=台湾TW&id=三立新闻台
三立iNEWS,AikanTV://api/vip.php?tvid=台湾TW&id=三立iNEWS
三立国际台,AikanTV://api/vip.php?tvid=台湾TW&id=三立国际台
LIVE三立,AikanTV://api/vip.php?tvid=台湾TW&id=LIVE三立
