Pixman「野生」,#genre#
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225738/index.m3u8
纪实科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225729/index.m3u8
劲爆体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
乐游频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
欢笑剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000002000009455/1.m3u8
都市剧场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031111/1.m3u8
金色学堂,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000026105/1.m3u8
卡酷少儿,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225654/index.m3u8
金鹰卡通,http://[2409:8087:1a0b:df::4008]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225653/index.m3u8
金鹰纪实,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
快乐垂钓,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031206/1.m3u8
茶友频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
游戏风云,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031114/1.m3u8
动漫秀场,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
嘉佳卡通,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
哒啵赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225675/index.m3u8
哒啵电竞,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281
优漫卡通,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225656/index.m3u8
哈哈炫动,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8
黑莓动画,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/index.m3u8
黑莓电影,http://[2409:8087:1a0b:df::4014]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/index.m3u8
求索纪录,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000010&IASHttpSessionId=OTT19019320240419154124000281
求索生活,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
求索动物,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
求索科学,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
睛彩竞技,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226124/index.m3u8
睛彩篮球,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226147/index.m3u8
睛彩青少,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226508/index.m3u8
睛彩广场舞,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226472/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225715/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225717/index.m3u8
超级视剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225716/index.m3u8
东北热剧,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225741/index.m3u8
海外剧场,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225671/index.m3u8
中国功夫,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225681/index.m3u8
军旅剧场,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225685/index.m3u8
精品体育,http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225674/index.m3u8
精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225672/index.m3u8
家庭剧场,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225677/index.m3u8
精品大剧,http://[2409:8087:1a0b:df::4001]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225670/index.m3u8
军事评论,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225668/index.m3u8
明星大片,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225664/index.m3u8
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225742/index.m3u8
精品萌宠,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226505/index.m3u8
超级综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225714/index.m3u8
金牌综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225666/index.m3u8
上海新闻,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000005/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000005&IASHttpSessionId=OTT19019320240419154124000281
上海都市,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000012/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000012&IASHttpSessionId=OTT19019320240419154124000281
上海外语,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000001/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000001&IASHttpSessionId=OTT19019320240419154124000281
七彩戏剧,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000010&IASHttpSessionId=OTT19019320240419154124000281
五星体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
东方影视,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000013/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000013&IASHttpSessionId=OTT19019320240419154124000281
东方财经,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000090/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000090&IASHttpSessionId=OTT19019320240419154124000281
法治天地,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000014/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000014&IASHttpSessionId=OTT19019320240419154124000281
第一财经,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000004/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000004&IASHttpSessionId=OTT19019320240419154124000281
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8

咪咕TV,#genre#

浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

内蒙频道,#genre#

内蒙新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=173f71025a2de64458989cfb281a0a37&txTime=771E8800
内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=8e4b7cf6a2c8a75f74aef1a8a07cef43&txTime=771E8800
内蒙少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
内蒙文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=82ed51a2a4cbf85b62fec8ef2bfe4529&txTime=771E8800
内蒙农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=b5e44fcd9473993661f17746112ad1b7&txTime=771E8800
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=e2b255285dd119a92c8aa5cdf00f8b84&txTime=771EF880
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=2250268a1d326dbbc4cbf0ba32649ca5&txTime=771E8800
呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=70072e9dff1f4042fcefde5b001af668&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=d5a1fe0898512f4a1d513bc0f9c5b751&txTime=771E8800
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=b7f46f8c1bcd9e2db3aa285e7afd6255&txTime=771E8800
巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=7b16e82a11c42b867ae27383922ef7f9&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=08be8d464e60db2c3aa1e8e7d742f71d&txTime=771E8800
乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=8bca81250fd7df3b633efcbb6150b0c6&txTime=771E8800

海南省「酒店」,#genre#

CCTV1-综合,http://116.167.105.139:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://116.167.105.139:9901/tsfile/live/0002_1.m3u8
IPTV 3,http://116.167.105.139:9901/tsfile/live/1002_1.m3u8
CCTV4-国际,http://116.167.105.139:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://116.167.105.139:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://116.167.105.139:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://116.167.105.139:9901/tsfile/live/0007_1.m3u8
IPTV 8,http://116.167.105.139:9901/tsfile/live/1007_1.m3u8
CCTV 9,http://116.167.105.139:9901/tsfile/live/1008_1.m3u8
CCTV 10,http://116.167.105.139:9901/tsfile/live/1009_1.m3u8
CCTV 11,http://116.167.105.139:9901/tsfile/live/1010_1.m3u8
CCTV 12,http://116.167.105.139:9901/tsfile/live/1011_1.m3u8
CCTV 13,http://116.167.105.139:9901/tsfile/live/1012_1.m3u8
CCTV 14,http://116.167.105.139:9901/tsfile/live/1013_1.m3u8
CCTV 15,http://116.167.105.139:9901/tsfile/live/1014_1.m3u8
CGTN,http://116.167.105.139:9901/tsfile/live/1015_1.m3u8
旅游卫视,http://116.167.105.139:9901/tsfile/live/0114_1.m3u8
海南综合,http://116.167.105.139:9901/tsfile/live/1016_1.m3u8
海南新闻,http://116.167.105.139:9901/tsfile/live/1017_1.m3u8
海南公共,http://116.167.105.139:9901/tsfile/live/1018_1.m3u8
湖南卫视,http://116.167.105.139:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://116.167.105.139:9901/tsfile/live/0124_1.m3u8
安徽卫视,http://116.167.105.139:9901/tsfile/live/0130_1.m3u8
北京卫视,http://116.167.105.139:9901/tsfile/live/0122_1.m3u8
天津卫视,http://116.167.105.139:9901/tsfile/live/0135_1.m3u8
辽宁卫视,http://116.167.105.139:9901/tsfile/live/0121_1.m3u8
山东卫视,http://116.167.105.139:9901/tsfile/live/0131_1.m3u8
上海卫视,http://116.167.105.139:9901/tsfile/live/0107_1.m3u8
广东卫视,http://116.167.105.139:9901/tsfile/live/0125_1.m3u8
广西卫视,http://116.167.105.139:9901/tsfile/live/0113_1.m3u8
湖北卫视,http://116.167.105.139:9901/tsfile/live/0132_1.m3u8
深圳卫视,http://116.167.105.139:9901/tsfile/live/0126_1.m3u8
云南卫视,http://116.167.105.139:9901/tsfile/live/0119_1.m3u8
河南卫视,http://116.167.105.139:9901/tsfile/live/0139_1.m3u8
黑龙江卫视,http://116.167.105.139:9901/tsfile/live/0143_1.m3u8
四川卫视,http://116.167.105.139:9901/tsfile/live/0123_1.m3u8
江西卫视,http://116.167.105.139:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://116.167.105.139:9901/tsfile/live/0120_1.m3u8
重庆卫视,http://116.167.105.139:9901/tsfile/live/0142_1.m3u8
东南卫视,http://116.167.105.139:9901/tsfile/live/0137_1.m3u8
河北卫视,http://116.167.105.139:9901/tsfile/live/0117_1.m3u8
吉林卫视,http://116.167.105.139:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://116.167.105.139:9901/tsfile/live/0136_1.m3u8
山西卫视,http://116.167.105.139:9901/tsfile/live/0118_1.m3u8
内蒙古卫视,http://116.167.105.139:9901/tsfile/live/0109_1.m3u8
青海卫视,http://116.167.105.139:9901/tsfile/live/0140_1.m3u8
宁夏卫视,http://116.167.105.139:9901/tsfile/live/0112_1.m3u8
海南影视,http://116.167.105.139:9901/tsfile/live/1019_1.m3u8

浙江省「酒店」,#genre#

CCTV1-综合,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://60.12.183.46:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://60.12.183.46:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://60.12.183.46:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://60.12.183.46:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://60.12.183.46:9901/tsfile/live/0015_1.m3u8
北京卫视,http://60.12.183.46:9901/tsfile/live/0015_2.m3u8
江苏卫视,http://60.12.183.46:9901/tsfile/live/0017_1.m3u8
东方卫视,http://60.12.183.46:9901/tsfile/live/0018_1.m3u8
湖南卫视,http://60.12.183.46:9901/tsfile/live/0019_1.m3u8
安徽卫视,http://60.12.183.46:9901/tsfile/live/0130_2.m3u8
重庆卫视,http://60.12.183.46:9901/tsfile/live/0122_1.m3u8
广东卫视,http://60.12.183.46:9901/tsfile/live/0107_1.m3u8
四川卫视,http://60.12.183.46:9901/tsfile/live/0128_1.m3u8
江西卫视,http://60.12.183.46:9901/tsfile/live/0130_1.m3u8
贵州卫视,http://60.12.183.46:9901/tsfile/live/0142_1.m3u8
山东卫视,http://60.12.183.46:9901/tsfile/live/0125_1.m3u8
辽宁卫视,http://60.12.183.46:9901/tsfile/live/0123_1.m3u8
吉林卫视,http://60.12.183.46:9901/tsfile/live/0138_1.m3u8
天津卫视,http://60.12.183.46:9901/tsfile/live/0120_1.m3u8
黑龙江卫视,http://60.12.183.46:9901/tsfile/live/1001_1.m3u8
东南卫视,http://60.12.183.46:9901/tsfile/live/0131_1.m3u8
河南卫视,http://60.12.183.46:9901/tsfile/live/0121_1.m3u8
湖北卫视,http://60.12.183.46:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://60.12.183.46:9901/tsfile/live/0118_1.m3u8
山西卫视,http://60.12.183.46:9901/tsfile/live/0109_1.m3u8
广西卫视,http://60.12.183.46:9901/tsfile/live/0112_1.m3u8
云南卫视,http://60.12.183.46:9901/tsfile/live/0110_1.m3u8
河北卫视,http://60.12.183.46:9901/tsfile/live/0111_1.m3u8
金鹰卡通,http://60.12.183.46:9901/tsfile/live/0140_1.m3u8
哈哈炫动,http://60.12.183.46:9901/tsfile/live/0141_1.m3u8

上海市「酒店」,#genre#

CCTV1-综合,http://116.226.31.83:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://116.226.31.83:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://116.226.31.83:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://116.226.31.83:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://116.226.31.83:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://116.226.31.83:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://116.226.31.83:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://116.226.31.83:9901/tsfile/live/0008_1.m3u8
CCTV10-科教,http://116.226.31.83:9901/tsfile/live/0010_1.m3u8
CCTV9-纪录,http://116.226.31.83:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://116.226.31.83:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://116.226.31.83:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://116.226.31.83:9901/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://116.226.31.83:9901/tsfile/live/0015_1.m3u8
CCTV17,http://116.226.31.83:9901/tsfile/live/0019_1.m3u8
上海卫视,http://116.226.31.83:9901/tsfile/live/0107_1.m3u8
都市剧场,http://116.226.31.83:9901/tsfile/live/1004_1.m3u8
上海纪实,http://116.226.31.83:9901/tsfile/live/1005_1.m3u8
法制天地,http://116.226.31.83:9901/tsfile/live/1006_1.m3u8
上海教育,http://116.226.31.83:9901/tsfile/live/1007_1.m3u8
